departure_port,arrival_port,real_fare_(AUD),Date
Brisbane,Melbourne,345,2023-12
Brisbane,Mount Isa,832,2023-12
Brisbane,Perth,855,2023-12
Brisbane,Proserpine,305,2023-12
Brisbane,Rockhampton,397,2023-12
Brisbane,Sydney,314,2023-12
Brisbane,Townsville,308,2023-12
Brisbane,Newcastle,235,2023-12
Broome,Perth,632,2023-12
Bundaberg,Brisbane,479,2023-12
Cairns,Gold Coast,912,2023-12
Cairns,Melbourne,383,2023-12
Cairns,Sydney,364,2023-12
Cairns,Townsville,234,2023-12
Canberra,Melbourne,275,2023-12
Canberra,Sydney,442,2023-12
Coffs Harbour,Sydney,339,2023-12
Darwin,Melbourne,693,2023-12
Darwin,Perth,858,2023-12
Darwin,Sydney,705,2023-12
Devonport,Melbourne,480,2023-12
Dubbo,Sydney,336,2023-12
Gold Coast,Sydney,249,2023-12
Hamilton Island,Sydney,560,2023-12
Hobart,Melbourne,203,2023-12
Hobart,Sydney,428,2023-12
Kalgoorlie,Perth,567,2023-12
Karratha,Perth,1061,2023-12
Launceston,Melbourne,144,2023-12
Launceston,Sydney,477,2023-12
Sunshine Coast,Melbourne,310,2023-12
Sunshine Coast,Sydney,316,2023-12
Melbourne,Gold Coast,428,2023-12
