Departing_Port,Arriving_Port,Month,Year,Average_Fare,Distance
Adelaide,Melbourne,7,2015,144.0,641.6529269409299
Adelaide,Perth,7,2015,464.0,2115.440208283999
Adelaide,Port Lincoln,7,2015,297.0,245.00141173119508
Adelaide,Sydney,7,2015,199.0,1164.1801497410133
Adelaide,Alice Springs,8,2015,118.0,1316.720676860747
Adelaide,Brisbane,8,2015,224.0,1619.982413941602
Adelaide,Canberra,8,2015,568.0,970.2290464494174
Adelaide,Gold Coast,8,2015,371.0,1604.1628403102109
Adelaide,Melbourne,8,2015,149.0,641.6529269409299
Adelaide,Perth,8,2015,401.0,2115.440208283999
Adelaide,Port Lincoln,8,2015,297.0,245.00141173119508
Adelaide,Sydney,8,2015,164.0,1164.1801497410133
Adelaide,Alice Springs,9,2015,196.0,1316.720676860747
Adelaide,Brisbane,9,2015,371.0,1619.982413941602
Adelaide,Canberra,9,2015,606.0,970.2290464494174
Adelaide,Gold Coast,9,2015,609.0,1604.1628403102109
Adelaide,Melbourne,9,2015,176.0,641.6529269409299
Adelaide,Perth,9,2015,489.0,2115.440208283999
Adelaide,Port Lincoln,9,2015,297.0,245.00141173119508
Adelaide,Sydney,9,2015,212.0,1164.1801497410133
Adelaide,Alice Springs,10,2015,154.0,1316.720676860747
Adelaide,Brisbane,10,2015,261.0,1619.982413941602
Adelaide,Canberra,10,2015,575.0,970.2290464494174
Adelaide,Gold Coast,10,2015,387.0,1604.1628403102109
Adelaide,Melbourne,10,2015,143.0,641.6529269409299
Adelaide,Perth,10,2015,462.0,2115.440208283999
Adelaide,Port Lincoln,10,2015,295.0,245.00141173119508
Adelaide,Sydney,10,2015,186.0,1164.1801497410133
Adelaide,Alice Springs,11,2015,128.0,1316.720676860747
Adelaide,Brisbane,11,2015,251.0,1619.982413941602
Adelaide,Canberra,11,2015,575.0,970.2290464494174
Adelaide,Gold Coast,11,2015,387.0,1604.1628403102109
Adelaide,Melbourne,11,2015,131.0,641.6529269409299
Adelaide,Perth,11,2015,412.0,2115.440208283999
Adelaide,Port Lincoln,11,2015,295.0,245.00141173119508
Adelaide,Sydney,11,2015,193.0,1164.1801497410133
Adelaide,Alice Springs,12,2015,125.0,1316.720676860747
Adelaide,Brisbane,12,2015,251.0,1619.982413941602
Adelaide,Canberra,12,2015,575.0,970.2290464494174
Adelaide,Gold Coast,12,2015,261.0,1604.1628403102109
Adelaide,Melbourne,12,2015,118.0,641.6529269409299
Adelaide,Perth,12,2015,512.0,2115.440208283999
Adelaide,Port Lincoln,12,2015,295.0,245.00141173119508
Adelaide,Sydney,12,2015,306.0,1164.1801497410133
Adelaide,Alice Springs,1,2016,225.0,1316.720676860747
Adelaide,Brisbane,1,2016,226.0,1619.982413941602
Adelaide,Canberra,1,2016,463.0,970.2290464494174
Adelaide,Gold Coast,1,2016,350.0,1604.1628403102109
Adelaide,Melbourne,1,2016,131.0,641.6529269409299
Adelaide,Perth,1,2016,463.0,2115.440208283999
